   |CODCLAVECICBENEFICIARIO|CODCLAVECICSOLICITANTE|PERIODO|FECDIA|HORINITRANSACCION|CODSUCAGE|CODSESION|CODINTERNOTRANSACCION|CODTRANSACCIONVENTANILLA|DESTRANSACCIONVENTANILLA|ACTV_BENEFICIARIO|TIPPER_BENEFICIARIO|FLG_FFNN_BENEFICIARIO|FLG_FFNN_SOLICITANTE|TIPBANCA_BENEFICIARIO|TIPBANCA_SOLICITANTE|MTOTRANSACCION|TIPPER_SOLICITANTE|DESBANCA_BENEFICIARIO|DESBANCA_SOLICITANTE|FECONS_BENEFICIARIO|FECONS_SOL|FLG_AN_BENEFICIARIO|FLG_AN_SOLICITANTE|FLG_REL|FLG_ROS_BEN|FLG_ROS_SOL|FLG_MTO_P25|FLG_MTO_P50|FLG_MTO_P75|FLG_MTO_P90|FECDIA2|FEC_BEN|FLG_AN|TIPPER|FLG_NUEVA_BEN|dif|dif2|FLG_NUEVA_SOL|FLG_NUEVA|FLG_BANCA|PERSONA_SOL|EMPRESA_SOL|PERSONA_BEN|EMPRESA_BEN|FLG_ROS|FLG_MTO|FLG_NOREL|MTOTRANSACCION_ES|TIPPER_BEN|TIPPER_SOL|MTO_P95|MTOTRANSACCION_ES95|N_Cluster
460|5150394.0|2441647.0|202004|13/04/2020|13:53:01|310000|638|800688000000.0|62|DepÂ¢sito Cte|9309.0|P|1|1|P|P|201575.3|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|0|2020-04-13||0|1|0|||0|0|1|1|0|1|0|0|0|1|201575.3|0|0|201575.3|201575.3|9
2790|93143.0|14938485.0|202008|21/08/2020|11:48:40|375000|221|902254000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|214470.4|P|EMPRESA                            |BANCA PERSONAL                     |07/04/1998||0|0|0|0|0|0|0|0|0|2020-08-21|1998-07-04|0|0|0|8084 days|8084.0|0|0|1|1|0|0|1|0|0|1|214470.4|1|0|214470.4|214470.4|0
1199|23284637.0|7904631.0|202008|24/08/2020|12:01:48|540000|325|902254000000.0|62|DepÂ¢sito Cte|5190.0|E|1|1|P|P|250110.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |07/02/2019||0|0|1|0|0|1|0|0|0|2020-08-24|2019-07-02|0|0|0|419 days|419.0|0|0|1|1|0|1|0|0|0|0|250110.0|1|0|250110.0|250110.0|4
1375|5097808.0|7295088.0|202008|12/08/2020|14:00:41|475000|365|800733000000.0|117|Credipago without validation|5190.0|E|1|1|C|P|541750.0|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |14/07/2005||1|0|0|1|0|0|0|0|1|2020-12-08|2005-07-14|0|0|0|5626 days|5626.0|0|0|1|1|0|0|0|0|1|1|541750.0|1|0|541750.0|541750.0|8
2507|2679372.0|21614230.0|202004|07/04/2020|11:09:44|395000|240|902229000000.0|62|DepÂ¢sito Cte|6599.0|E|1|1|E|P|400000.0|P|EMPRESA                            |BANCA PERSONAL                     |19/01/1995||0|0|0|0|0|0|0|1|0|2020-07-04|1995-01-19|0|0|0|9298 days|9298.0|0|0|1|1|0|0|1|0|0|1|400000.0|1|0|400000.0|400000.0|13
2060|2377269.0|2916979.0|202005|29/05/2020|14:37:40|350000|252|800700000000.0|62|DepÂ¢sito Cte|6592.0|E|1|1|P|P|250000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |19/12/1972||0|0|0|0|0|1|0|0|0|2020-05-29|1972-12-19|0|0|0|17328 days|17328.0|0|0|1|1|0|1|0|0|0|1|250000.0|1|0|250000.0|250000.0|9
2106|21447073.0|2074702.0|202008|28/08/2020|16:25:10|355006|507|800738000000.0|62|DepÂ¢sito Cte|7414.0|E|1|1|P|P|230000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |28/06/2017||0|0|0|0|0|0|0|0|0|2020-08-28|2017-06-28|0|0|0|1157 days|1157.0|0|0|1|1|0|1|0|0|0|1|230000.0|1|0|230000.0|230000.0|9
2962|4518294.0|1078379.0|202009|02/09/2020|15:16:49|191053|335|902256000000.0|62|DepÂ¢sito Cte|5234.0|E|1|1|P|P|201300.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |01/03/2004||0|0|1|0|0|0|0|0|0|2020-02-09|2004-01-03|0|0|0|5881 days|5881.0|0|0|1|1|0|1|0|0|0|0|201300.0|1|0|201300.0|201300.0|4
1530|18258.0|123684.0|202003|07/03/2020|13:10:24|550000|347|902222000000.0|117|Credipago without validation|5143.0|E|1|1|P|P|370000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |12/09/1997||0|0|1|0|0|0|1|0|0|2020-07-03|1997-12-09|0|0|0|8242 days|8242.0|0|0|1|1|0|1|0|0|0|0|370000.0|1|0|370000.0|370000.0|12
2287|6486858.0|2126773.0|202002|11/02/2020|17:13:21|215000|1479|800663000000.0|62|DepÂ¢sito Cte|7499.0|E|1|1|C|P|254010.0|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |15/10/2007||0|0|0|1|0|1|0|0|0|2020-11-02|2007-10-15|0|0|0|4767 days|4767.0|0|0|1|1|0|0|0|0|0|1|254010.0|1|0|254010.0|254010.0|7
2698|93143.0|14938485.0|202002|05/02/2020|11:35:41|375000|270|902207000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|229705.9|P|EMPRESA                            |BANCA PERSONAL                     |07/04/1998||0|0|0|0|0|0|0|0|0|2020-05-02|1998-07-04|0|0|0|7973 days|7973.0|0|0|1|1|0|0|1|0|0|1|229705.9|1|0|229705.9|229705.9|0
989|7134618.0|3109235.0|202006|24/06/2020|13:27:31|194019|356|800709000000.0|62|DepÂ¢sito Cte|7499.0|E|1|1|E|P|353100.0|P|EMPRESA                            |BANCA PERSONAL                     |24/06/2008||0|1|0|1|1|0|1|0|0|2020-06-24|2008-06-24|0|0|0|4383 days|4383.0|0|0|1|1|0|0|1|1|0|1|353100.0|1|0|353100.0|353100.0|3
1648|14746.0|10513532.0|202001|25/01/2020|11:34:56|194000|330|800654000000.0|60|DepÂ¢sito Aho|6599.0|E|1|1|E|P|255000.0|P|EMPRESA                            |BANCA PERSONAL                     |01/12/1994||0|0|0|0|0|1|0|0|0|2020-01-25|1994-01-12|0|0|0|9509 days|9509.0|0|0|1|1|0|0|1|0|0|1|255000.0|1|0|255000.0|255000.0|0
493|4055426.0|4055426.0|202003|06/03/2020|17:53:07|365000|924|800677000000.0|107|Pago de Credito ALS|5220.0|P|1|1|P|P|228079.09|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|0|2020-06-03||0|1|0|||0|0|1|1|0|1|0|0|0|1|228079.09|0|0|228079.09|228079.09|9
2907|3879858.0|1901714.0|202002|29/02/2020|10:27:40|194076|54|902218000000.0|84|Emision de Cheques de Ger|6210.0|P|1|1|P|P|251829.12|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|1|0|0|0|2020-02-29||0|1|0|||0|0|1|1|0|1|0|0|0|1|251829.12|0|0|251829.12|251829.12|9
2448|10254090.0|3837308.0|202001|27/01/2020|10:37:50|285003|115|800654000000.0|62|DepÂ¢sito Cte|1429.0|E|1|1|P|P|416923.77|P|BANCA PERSONAL                     |BANCA PERSONAL                     |15/05/2012||0|0|0|0|0|0|0|1|0|2020-01-27|2012-05-15|0|0|0|2813 days|2813.0|0|0|1|1|0|1|0|0|0|1|416923.77|1|0|416923.77|416923.77|18
2236|7071429.0|9848343.0|202006|26/06/2020|10:31:04|285000|94|902242000000.0|117|Credipago without validation|121.0|E|1|1|E|P|242650.0|P|EMPRESA                            |BANCA PERSONAL                     |09/07/2008||0|0|1|0|0|1|0|0|0|2020-06-26|2008-09-07|0|0|0|4310 days|4310.0|0|0|1|1|0|0|1|0|0|0|242650.0|1|0|242650.0|242650.0|16
1576|4613804.0|5571554.0|202005|26/05/2020|13:15:37|215000|428|800698000000.0|62|DepÂ¢sito Cte|5141.0|E|1|1|E|P|499950.0|P|EMPRESA                            |BANCA PERSONAL                     |27/05/2004||0|0|1|0|0|0|0|1|0|2020-05-26|2004-05-27|0|0|0|5843 days|5843.0|0|0|1|1|0|0|1|0|0|0|499950.0|1|0|499950.0|499950.0|6
2139|1227832.0|16898062.0|202002|05/02/2020|16:14:40|194094|334|902207000000.0|60|DepÂ¢sito Aho|91.0|P|1|1|P|P|255689.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|1|0|0|0|2020-05-02||0|1|0|||0|0|1|1|0|1|0|0|0|1|255689.0|0|0|255689.0|255689.0|9
3237|2784905.0|19377453.0|202007|10/07/2020|11:44:17|435000|66|800724000000.0|117|Credipago without validation|5122.0|E|1|1|P|P|300000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |17/02/2000||0|0|1|0|0|0|1|0|0|2020-10-07|2000-02-17|0|0|0|7538 days|7538.0|0|0|1|1|0|1|0|0|0|0|300000.0|1|0|300000.0|300000.0|12
799|366868.0|983757.0|202001|17/01/2020|18:27:12|215000|1698|800649000000.0|117|Credipago without validation|122.0|E|1|1|C|P|227810.0|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |23/10/1998||0|0|0|0|0|0|0|0|0|2020-01-17|1998-10-23|0|0|0|7756 days|7756.0|0|0|1|1|0|0|0|0|0|1|227810.0|1|0|227810.0|227810.0|5
3397|19261023.0|3710495.0|202002|24/02/2020|14:46:17|194016|371|800670000000.0|62|DepÂ¢sito Cte|7421.0|E|1|1|P|P|201900.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |05/12/2016||0|0|1|0|0|0|0|0|0|2020-02-24|2016-05-12|0|0|0|1383 days|1383.0|0|0|1|1|0|1|0|0|0|0|201900.0|1|0|201900.0|201900.0|4
3174|19766941.0|5421816.0|202007|21/07/2020|17:45:15|480000|206|902247000000.0|62|DepÂ¢sito Cte|5150.0|E|1|1|P|P|1066000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |14/10/2015||0|0|1|0|0|0|0|0|1|2020-07-21|2015-10-14|0|0|0|1742 days|1742.0|0|0|1|1|0|1|0|0|1|0|1066000.0|1|0|651373.7949999986|651373.7949999986|15
2941|9238148.0|22559311.0|202004|27/04/2020|12:06:32|355002|302|800691000000.0|62|DepÂ¢sito Cte|9309.0|E|1|1|P|P|270000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|1|0|0|1|0|0|0|2020-04-27||0|0|0|||0|0|1|1|0|1|0|0|0|0|270000.0|1|0|270000.0|270000.0|4
148|29719.0|29719.0|202003|13/03/2020|16:22:28|570007|465|902224000000.0|60|DepÂ¢sito Aho|5050.0|P|1|1|P|P|280000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|1|0|0|0|2020-03-13||0|1|0|||0|0|1|1|0|1|0|0|0|1|280000.0|0|0|280000.0|280000.0|9
135|2420521.0|2420521.0|202008|27/08/2020|10:57:54|305003|35|800737000000.0|60|DepÂ¢sito Aho|9309.0|P|1|1|P|P|251300.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|1|0|0|0|2020-08-27||0|1|0|||0|0|1|1|0|1|0|0|0|1|251300.0|0|0|251300.0|251300.0|9
1307|5886.0|12640167.0|202002|12/02/2020|12:17:02|285003|223|800663000000.0|60|DepÂ¢sito Aho|91.0|P|1|1|P|P|220984.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|0|2020-12-02||0|1|0|||0|0|1|1|0|1|0|0|0|1|220984.0|0|0|220984.0|220984.0|9
